NAME,COLORWAY,ONEY_SALE,RETAIL_PRICE,RESELL_PRICE,RELEASE_DATE,RESELL_DATE,SIZE
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),CITRIN/CITRIN/CITRIN,8395,$220,$208,09/23/2019,"Monday, October 14, 2019",9
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),CITRIN/CITRIN/CITRIN,8395,$220,$220,09/23/2019,"Monday, October 14, 2019",10
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),CITRIN/CITRIN/CITRIN,8395,$220,$235,09/23/2019,"Monday, October 14, 2019",9.5
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),CITRIN/CITRIN/CITRIN,8395,$220,$222,09/23/2019,"Monday, October 14, 2019",11
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),CITRIN/CITRIN/CITRIN,8395,$220,$233,09/23/2019,"Monday, October 14, 2019",7.5
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),CITRIN/CITRIN/CITRIN,8395,$220,$239,09/23/2019,"Monday, October 14, 2019",8.5
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),CITRIN/CITRIN/CITRIN,8395,$220,$220,09/23/2019,"Monday, October 14, 2019",11
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),CITRIN/CITRIN/CITRIN,8395,$220,$234,09/23/2019,"Monday, October 14, 2019",9.5
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),CITRIN/CITRIN/CITRIN,8395,$220,$225,09/23/2019,"Monday, October 14, 2019",9.5
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),CITRIN/CITRIN/CITRIN,8395,$220,$215,09/23/2019,"Monday, October 14, 2019",9
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),LUNDMARK/LUNDMARK/LUNDMARK,40311,$220,$264,07/13/2019,"Monday, October 14, 2019",10
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),LUNDMARK/LUNDMARK/LUNDMARK,40311,$220,$265,07/13/2019,"Monday, October 14, 2019",11
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),LUNDMARK/LUNDMARK/LUNDMARK,40311,$220,$250,07/13/2019,"Monday, October 14, 2019",11
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),LUNDMARK/LUNDMARK/LUNDMARK,40311,$220,$225,07/13/2019,"Monday, October 14, 2019",12
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),LUNDMARK/LUNDMARK/LUNDMARK,40311,$220,$208,07/13/2019,"Monday, October 14, 2019",14
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),LUNDMARK/LUNDMARK/LUNDMARK,40311,$220,$255,07/13/2019,"Monday, October 14, 2019",10
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),LUNDMARK/LUNDMARK/LUNDMARK,40311,$220,$305,07/13/2019,"Monday, October 14, 2019",6.5
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),LUNDMARK/LUNDMARK/LUNDMARK,40311,$220,$300,07/13/2019,"Monday, October 14, 2019",6
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),LUNDMARK/LUNDMARK/LUNDMARK,40311,$220,$279,07/13/2019,"Monday, October 14, 2019",8.5
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),LUNDMARK/LUNDMARK/LUNDMARK,40311,$220,$263,07/13/2019,"Monday, October 14, 2019",10
adidas Yeezy Boost 350 V2 Sesame,SESAME/SESAME/SESAME,36261,$220,$307,11/23/2018,"Monday, October 14, 2019",10.5
adidas Yeezy Boost 350 V2 Sesame,SESAME/SESAME/SESAME,36261,$220,$270,11/23/2018,"Monday, October 14, 2019",10
adidas Yeezy Boost 350 V2 Sesame,SESAME/SESAME/SESAME,36261,$220,$271,11/23/2018,"Monday, October 14, 2019",10.5
adidas Yeezy Boost 350 V2 Sesame,SESAME/SESAME/SESAME,36261,$220,$264,11/23/2018,"Monday, October 14, 2019",8.5
adidas Yeezy Boost 350 V2 Sesame,SESAME/SESAME/SESAME,36261,$220,$285,11/23/2018,"Monday, October 14, 2019",13
adidas Yeezy Boost 350 V2 Sesame,SESAME/SESAME/SESAME,36261,$220,$280,11/23/2018,"Monday, October 14, 2019",13
adidas Yeezy Boost 350 V2 Sesame,SESAME/SESAME/SESAME,36261,$220,$275,11/23/2018,"Monday, October 14, 2019",9.5
adidas Yeezy Boost 350 V2 Sesame,SESAME/SESAME/SESAME,36261,$220,$319,11/23/2018,"Monday, October 14, 2019",11
adidas Yeezy Boost 350 V2 Sesame,SESAME/SESAME/SESAME,36261,$220,$318,11/23/2018,"Monday, October 14, 2019",11
adidas Yeezy Boost 350 V2 Sesame,SESAME/SESAME/SESAME,36261,$220,$279,11/23/2018,"Monday, October 14, 2019",8
adidas Yeezy Boost 350 V2 Clay,CLAY/CLAY/CLAY,49753,$220,$450,03/30/2019,"Monday, October 14, 2019",6.5
adidas Yeezy Boost 350 V2 Clay,CLAY/CLAY/CLAY,49753,$220,$211,03/30/2019,"Monday, October 14, 2019",14
adidas Yeezy Boost 350 V2 Clay,CLAY/CLAY/CLAY,49753,$220,$289,03/30/2019,"Monday, October 14, 2019",12
adidas Yeezy Boost 350 V2 Clay,CLAY/CLAY/CLAY,49753,$220,$305,03/30/2019,"Monday, October 14, 2019",4.5
adidas Yeezy Boost 350 V2 Clay,CLAY/CLAY/CLAY,49753,$220,$320,03/30/2019,"Monday, October 14, 2019",10.5
